"date_recovered","province","cumulative_recovered"
"12-05-2020","Alberta",4866
"11-05-2020","Alberta",4659
"10-05-2020","Alberta",4389
"09-05-2020","Alberta",4204
"08-05-2020","Alberta",4020
"07-05-2020","Alberta",3809
"06-05-2020","Alberta",3552
"05-05-2020","Alberta",3219
"04-05-2020","Alberta",2942
"03-05-2020","Alberta",2713
"02-05-2020","Alberta",2534
"01-05-2020","Alberta",2359
"30-04-2020","Alberta",2161
"29-04-2020","Alberta",1953
"28-04-2020","Alberta",1800
"27-04-2020","Alberta",1664
"26-04-2020","Alberta",1549
"25-04-2020","Alberta",1471
"24-04-2020","Alberta",1397
"23-04-2020","Alberta",1357
"22-04-2020","Alberta",1310
"21-04-2020","Alberta",1273
"20-04-2020","Alberta",1230
"19-04-2020","Alberta",1198
"18-04-2020","Alberta",1162
"17-04-2020","Alberta",1124
"16-04-2020","Alberta",914
"15-04-2020","Alberta",914
"14-04-2020","Alberta",914
"13-04-2020","Alberta",877
"12-04-2020","Alberta",823
"11-04-2020","Alberta",774
"10-04-2020","Alberta",713
"09-04-2020","Alberta",592
"08-04-2020","Alberta",519
"07-04-2020","Alberta",447
"06-04-2020","Alberta",361
"05-04-2020","Alberta",279
"04-04-2020","Alberta",196
"03-04-2020","Alberta",196
"02-04-2020","Alberta",174
"01-04-2020","Alberta",142
"31-03-2020","Alberta",120
"30-03-2020","Alberta",94
"29-03-2020","Alberta",73
"28-03-2020","Alberta",53
"27-03-2020","Alberta",33
"26-03-2020","Alberta",27
"25-03-2020","Alberta",3
"24-03-2020","Alberta",3
"23-03-2020","Alberta",3
"22-03-2020","Alberta",3
"21-03-2020","Alberta",3
"20-03-2020","Alberta",3
"19-03-2020","Alberta",2
"18-03-2020","Alberta",0
"17-03-2020","Alberta",0
"16-03-2020","Alberta",0
"15-03-2020","Alberta",0
"14-03-2020","Alberta",0
"13-03-2020","Alberta",0
"12-03-2020","Alberta",0
"11-03-2020","Alberta",0
"10-03-2020","Alberta",0
"09-03-2020","Alberta",0
"08-03-2020","Alberta",0
"07-03-2020","Alberta",0
"06-03-2020","Alberta",0
"05-03-2020","Alberta",0
"04-03-2020","Alberta",NA
"03-03-2020","Alberta",NA
"02-03-2020","Alberta",NA
"01-03-2020","Alberta",NA
"29-02-2020","Alberta",NA
"28-02-2020","Alberta",NA
"27-02-2020","Alberta",NA
"26-02-2020","Alberta",NA
"25-02-2020","Alberta",NA
"24-02-2020","Alberta",NA
"23-02-2020","Alberta",NA
"22-02-2020","Alberta",NA
"21-02-2020","Alberta",NA
"20-02-2020","Alberta",NA
"19-02-2020","Alberta",NA
"18-02-2020","Alberta",NA
"17-02-2020","Alberta",NA
