"province","date_death_report","deaths","cumulative_deaths"
"Saskatchewan","05-05-2020",0,6
"Saskatchewan","06-05-2020",0,6
"Saskatchewan","07-05-2020",0,6
"Saskatchewan","08-05-2020",0,6
"Saskatchewan","09-05-2020",0,6
"Saskatchewan","10-05-2020",0,6
"Saskatchewan","11-05-2020",0,6
"Saskatchewan","12-05-2020",0,6
"Saskatchewan","13-05-2020",0,6
"Saskatchewan","14-05-2020",0,6
"Saskatchewan","15-05-2020",0,6
"Saskatchewan","16-05-2020",0,6
"Saskatchewan","17-05-2020",0,6
"Saskatchewan","18-05-2020",0,6
"Saskatchewan","19-05-2020",0,6
"Saskatchewan","20-05-2020",1,7
"Saskatchewan","21-05-2020",0,7
"Saskatchewan","22-05-2020",0,7
"Saskatchewan","23-05-2020",0,7
"Saskatchewan","24-05-2020",0,7
"Saskatchewan","25-05-2020",0,7
"Saskatchewan","26-05-2020",1,8
"Saskatchewan","27-05-2020",2,10
"Saskatchewan","28-05-2020",0,10
"Saskatchewan","29-05-2020",0,10
"Saskatchewan","30-05-2020",0,10
"Saskatchewan","31-05-2020",1,11
"Saskatchewan","01-06-2020",0,11
"Saskatchewan","02-06-2020",0,11
"Saskatchewan","03-06-2020",0,11
"Saskatchewan","04-06-2020",0,11
"Saskatchewan","05-06-2020",0,11
"Saskatchewan","06-06-2020",0,11
"Saskatchewan","07-06-2020",0,11
"Saskatchewan","08-06-2020",2,13
"Saskatchewan","09-06-2020",0,13
"Saskatchewan","10-06-2020",0,13
"Saskatchewan","11-06-2020",0,13
"Saskatchewan","12-06-2020",0,13
"Saskatchewan","13-06-2020",0,13
"Saskatchewan","14-06-2020",0,13
"Saskatchewan","15-06-2020",0,13
"Saskatchewan","16-06-2020",0,13
"Saskatchewan","17-06-2020",0,13
"Saskatchewan","18-06-2020",0,13
"Saskatchewan","19-06-2020",0,13
"Saskatchewan","20-06-2020",0,13
"Saskatchewan","21-06-2020",0,13
"Saskatchewan","22-06-2020",0,13
"Saskatchewan","23-06-2020",0,13
"Saskatchewan","24-06-2020",0,13
"Saskatchewan","25-06-2020",0,13
"Saskatchewan","26-06-2020",0,13
"Saskatchewan","27-06-2020",0,13
"Saskatchewan","28-06-2020",0,13
"Saskatchewan","29-06-2020",0,13
"Saskatchewan","30-06-2020",0,13
"Saskatchewan","01-07-2020",0,13
"Saskatchewan","02-07-2020",1,14
"Saskatchewan","03-07-2020",0,14
"Saskatchewan","04-07-2020",0,14
"Saskatchewan","05-07-2020",0,14
"Saskatchewan","06-07-2020",0,14
"Saskatchewan","07-07-2020",1,15
"Saskatchewan","08-07-2020",0,15
"Saskatchewan","09-07-2020",0,15
"Saskatchewan","10-07-2020",0,15
"Saskatchewan","11-07-2020",0,15
"Saskatchewan","12-07-2020",0,15
"Saskatchewan","13-07-2020",0,15
"Saskatchewan","14-07-2020",0,15
"Saskatchewan","15-07-2020",0,15
"Saskatchewan","16-07-2020",0,15
"Saskatchewan","17-07-2020",0,15
"Saskatchewan","18-07-2020",0,15
"Saskatchewan","19-07-2020",0,15
"Saskatchewan","20-07-2020",0,15
"Saskatchewan","21-07-2020",0,15
"Saskatchewan","22-07-2020",0,15
"Saskatchewan","23-07-2020",1,16
"Saskatchewan","24-07-2020",0,16
"Saskatchewan","25-07-2020",0,16
"Saskatchewan","26-07-2020",0,16
"Saskatchewan","27-07-2020",0,16
"Saskatchewan","28-07-2020",1,17
"Saskatchewan","29-07-2020",0,17
"Saskatchewan","30-07-2020",1,18
"Saskatchewan","31-07-2020",0,18
"Saskatchewan","01-08-2020",0,18
"Saskatchewan","02-08-2020",0,18
"Saskatchewan","03-08-2020",0,18
"Saskatchewan","04-08-2020",0,18
"Saskatchewan","05-08-2020",0,18
"Saskatchewan","06-08-2020",1,19
"Saskatchewan","07-08-2020",1,20
"Saskatchewan","08-08-2020",0,20
"Saskatchewan","09-08-2020",0,20
"Saskatchewan","10-08-2020",0,20
"Saskatchewan","11-08-2020",0,20
"Saskatchewan","12-08-2020",0,20
"Saskatchewan","13-08-2020",0,20
"Saskatchewan","14-08-2020",0,20
"Saskatchewan","15-08-2020",1,21
"Saskatchewan","16-08-2020",1,22
"Saskatchewan","17-08-2020",0,22
"Saskatchewan","18-08-2020",0,22
"Saskatchewan","19-08-2020",0,22
"Saskatchewan","20-08-2020",0,22
"Saskatchewan","21-08-2020",0,22
"Saskatchewan","22-08-2020",0,22
"Saskatchewan","23-08-2020",0,22
"Saskatchewan","24-08-2020",0,22
"Saskatchewan","25-08-2020",1,23
"Saskatchewan","26-08-2020",1,24
"Saskatchewan","27-08-2020",0,24
"Saskatchewan","28-08-2020",0,24
"Saskatchewan","29-08-2020",0,24
"Saskatchewan","30-08-2020",0,24
"Saskatchewan","31-08-2020",0,24
"Saskatchewan","01-09-2020",0,24
"Saskatchewan","02-09-2020",0,24
"Saskatchewan","03-09-2020",0,24
"Saskatchewan","04-09-2020",0,24
"Saskatchewan","05-09-2020",0,24
"Saskatchewan","06-09-2020",0,24
"Saskatchewan","07-09-2020",0,24
"Saskatchewan","08-09-2020",0,24
"Saskatchewan","09-09-2020",0,24
"Saskatchewan","10-09-2020",0,24
"Saskatchewan","11-09-2020",0,24
"Saskatchewan","12-09-2020",0,24
"Saskatchewan","13-09-2020",0,24
"Saskatchewan","14-09-2020",0,24
"Saskatchewan","15-09-2020",0,24
"Saskatchewan","16-09-2020",0,24
"Saskatchewan","17-09-2020",0,24
"Saskatchewan","18-09-2020",0,24
"Saskatchewan","19-09-2020",0,24
"Saskatchewan","20-09-2020",0,24
"Saskatchewan","21-09-2020",0,24
"Saskatchewan","22-09-2020",0,24
"Saskatchewan","23-09-2020",0,24
"Saskatchewan","24-09-2020",0,24
"Saskatchewan","25-09-2020",0,24
"Saskatchewan","26-09-2020",0,24
"Saskatchewan","27-09-2020",0,24
"Saskatchewan","28-09-2020",0,24
"Saskatchewan","29-09-2020",0,24
"Saskatchewan","30-09-2020",0,24
"Saskatchewan","01-10-2020",0,24
"Saskatchewan","02-10-2020",0,24
"Saskatchewan","03-10-2020",0,24
"Saskatchewan","04-10-2020",0,24
"Saskatchewan","05-10-2020",0,24
"Saskatchewan","06-10-2020",0,24
"Saskatchewan","07-10-2020",0,24
"Saskatchewan","08-10-2020",0,24
"Saskatchewan","09-10-2020",0,24
"Saskatchewan","10-10-2020",0,24
"Saskatchewan","11-10-2020",1,25
"Saskatchewan","12-10-2020",0,25
"Saskatchewan","13-10-2020",0,25
"Saskatchewan","14-10-2020",0,25
"Saskatchewan","15-10-2020",0,25
"Saskatchewan","16-10-2020",0,25
"Saskatchewan","17-10-2020",0,25
"Saskatchewan","18-10-2020",0,25
"Saskatchewan","19-10-2020",0,25
"Saskatchewan","20-10-2020",0,25
"Saskatchewan","21-10-2020",0,25
"Saskatchewan","22-10-2020",0,25
"Saskatchewan","23-10-2020",0,25
"Saskatchewan","24-10-2020",0,25
"Saskatchewan","25-10-2020",0,25
"Saskatchewan","26-10-2020",0,25
"Saskatchewan","27-10-2020",0,25
"Saskatchewan","28-10-2020",0,25
"Saskatchewan","29-10-2020",0,25
"Saskatchewan","30-10-2020",0,25
"Saskatchewan","31-10-2020",0,25
"Saskatchewan","01-11-2020",0,25
"Saskatchewan","02-11-2020",0,25
"Saskatchewan","03-11-2020",0,25
"Saskatchewan","04-11-2020",0,25
"Saskatchewan","05-11-2020",0,25
"Saskatchewan","06-11-2020",0,25
"Saskatchewan","07-11-2020",2,27
"Saskatchewan","08-11-2020",1,28
"Saskatchewan","09-11-2020",1,29
"Saskatchewan","10-11-2020",0,29
"Saskatchewan","11-11-2020",0,29
"Saskatchewan","12-11-2020",0,29
"Saskatchewan","13-11-2020",0,29
"Saskatchewan","14-11-2020",0,29
"Saskatchewan","15-11-2020",2,31
"Saskatchewan","16-11-2020",0,31
"Saskatchewan","17-11-2020",0,31
"Saskatchewan","18-11-2020",1,32
"Saskatchewan","19-11-2020",0,32
"Saskatchewan","20-11-2020",1,33
"Saskatchewan","21-11-2020",0,33
"Saskatchewan","22-11-2020",0,33
"Saskatchewan","23-11-2020",4,37
"Saskatchewan","24-11-2020",0,37
"Saskatchewan","25-11-2020",0,37
"Saskatchewan","26-11-2020",3,40
"Saskatchewan","27-11-2020",4,44
"Saskatchewan","28-11-2020",1,45
"Saskatchewan","29-11-2020",0,45
"Saskatchewan","30-11-2020",2,47
"Saskatchewan","01-12-2020",4,51
"Saskatchewan","02-12-2020",2,53
"Saskatchewan","03-12-2020",1,54
"Saskatchewan","04-12-2020",1,55
"Saskatchewan","05-12-2020",0,55
"Saskatchewan","06-12-2020",4,59
"Saskatchewan","07-12-2020",1,60
"Saskatchewan","08-12-2020",6,66
"Saskatchewan","09-12-2020",5,71
"Saskatchewan","10-12-2020",4,75
"Saskatchewan","11-12-2020",0,75
"Saskatchewan","12-12-2020",11,86
"Saskatchewan","13-12-2020",3,89
