"province","date_report","cases","cumulative_cases"
"Alberta","25-01-2020",0,0
"Alberta","26-01-2020",0,0
"Alberta","27-01-2020",0,0
"Alberta","28-01-2020",0,0
"Alberta","29-01-2020",0,0
"Alberta","30-01-2020",0,0
"Alberta","31-01-2020",0,0
"Alberta","01-02-2020",0,0
"Alberta","02-02-2020",0,0
"Alberta","03-02-2020",0,0
"Alberta","04-02-2020",0,0
"Alberta","05-02-2020",0,0
"Alberta","06-02-2020",0,0
"Alberta","07-02-2020",0,0
"Alberta","08-02-2020",0,0
"Alberta","09-02-2020",0,0
"Alberta","10-02-2020",0,0
"Alberta","11-02-2020",0,0
"Alberta","12-02-2020",0,0
"Alberta","13-02-2020",0,0
"Alberta","14-02-2020",0,0
"Alberta","15-02-2020",0,0
"Alberta","16-02-2020",0,0
"Alberta","17-02-2020",0,0
"Alberta","18-02-2020",0,0
"Alberta","19-02-2020",0,0
"Alberta","20-02-2020",0,0
"Alberta","21-02-2020",0,0
"Alberta","22-02-2020",0,0
"Alberta","23-02-2020",0,0
"Alberta","24-02-2020",0,0
"Alberta","25-02-2020",0,0
"Alberta","26-02-2020",0,0
"Alberta","27-02-2020",0,0
"Alberta","28-02-2020",0,0
"Alberta","29-02-2020",0,0
"Alberta","01-03-2020",0,0
"Alberta","02-03-2020",0,0
"Alberta","03-03-2020",0,0
"Alberta","04-03-2020",0,0
"Alberta","05-03-2020",1,1
"Alberta","06-03-2020",1,2
"Alberta","07-03-2020",0,2
"Alberta","08-03-2020",2,4
"Alberta","09-03-2020",10,14
"Alberta","10-03-2020",0,14
"Alberta","11-03-2020",5,19
"Alberta","12-03-2020",4,23
"Alberta","13-03-2020",6,29
"Alberta","14-03-2020",10,39
"Alberta","15-03-2020",17,56
"Alberta","16-03-2020",18,74
"Alberta","17-03-2020",23,97
"Alberta","18-03-2020",22,119
"Alberta","19-03-2020",27,146
"Alberta","20-03-2020",49,195
"Alberta","21-03-2020",31,226
"Alberta","22-03-2020",33,259
"Alberta","23-03-2020",42,301
"Alberta","24-03-2020",57,358
"Alberta","25-03-2020",61,419
"Alberta","26-03-2020",67,486
"Alberta","27-03-2020",56,542
"Alberta","28-03-2020",79,621
"Alberta","29-03-2020",40,661
"Alberta","30-03-2020",29,690
"Alberta","31-03-2020",64,754
"Alberta","01-04-2020",117,871
"Alberta","02-04-2020",97,968
"Alberta","03-04-2020",107,1075
"Alberta","04-04-2020",106,1181
"Alberta","05-04-2020",69,1250
"Alberta","06-04-2020",98,1348
"Alberta","07-04-2020",25,1373
"Alberta","08-04-2020",50,1423
"Alberta","09-04-2020",28,1451
"Alberta","10-04-2020",49,1500
"Alberta","11-04-2020",69,1569
"Alberta","12-04-2020",82,1651
"Alberta","13-04-2020",81,1732
"Alberta","14-04-2020",138,1870
"Alberta","15-04-2020",126,1996
"Alberta","16-04-2020",162,2158
"Alberta","17-04-2020",239,2397
"Alberta","18-04-2020",165,2562
"Alberta","19-04-2020",241,2803
"Alberta","20-04-2020",105,2908
"Alberta","21-04-2020",187,3095
"Alberta","22-04-2020",306,3401
"Alberta","23-04-2020",319,3720
"Alberta","24-04-2020",297,4017
"Alberta","25-04-2020",215,4232
"Alberta","26-04-2020",243,4475
"Alberta","27-04-2020",216,4691
"Alberta","28-04-2020",159,4850
"Alberta","29-04-2020",315,5165
"Alberta","30-04-2020",190,5355
"Alberta","01-05-2020",218,5573
"Alberta","02-05-2020",96,5669
"Alberta","03-05-2020",93,5762
"Alberta","04-05-2020",74,5836
"Alberta","05-05-2020",57,5893
"Alberta","06-05-2020",70,5963
"Alberta","07-05-2020",54,6017
"Alberta","08-05-2020",81,6098
"Alberta","09-05-2020",59,6157
"Alberta","10-05-2020",96,6253
"Alberta","11-05-2020",47,6300
"Alberta","12-05-2020",45,6345
"Alberta","13-05-2020",62,6407
"Alberta","14-05-2020",50,6457
"Alberta","15-05-2020",57,6514
"Alberta","16-05-2020",72,6586
"Alberta","17-05-2020",57,6643
"Alberta","18-05-2020",39,6682
"Alberta","19-05-2020",33,6715
"Alberta","20-05-2020",19,6734
"Alberta","21-05-2020",33,6767
"Alberta","22-05-2020",32,6799
"Alberta","23-05-2020",18,6817
"Alberta","24-05-2020",42,6859
"Alberta","25-05-2020",19,6878
"Alberta","26-05-2020",22,6900
"Alberta","27-05-2020",25,6925
"Alberta","28-05-2020",29,6954
"Alberta","29-05-2020",24,6978
"Alberta","30-05-2020",14,6992
"Alberta","31-05-2020",18,7010
"Alberta","01-06-2020",34,7044
"Alberta","02-06-2020",13,7057
"Alberta","03-06-2020",19,7076
"Alberta","04-06-2020",15,7091
"Alberta","05-06-2020",7,7098
"Alberta","06-06-2020",40,7138
"Alberta","07-06-2020",0,7138
"Alberta","08-06-2020",64,7202
"Alberta","09-06-2020",27,7229
"Alberta","10-06-2020",47,7276
"Alberta","11-06-2020",40,7316
"Alberta","12-06-2020",30,7346
"Alberta","13-06-2020",37,7383
"Alberta","14-06-2020",50,7433
"Alberta","15-06-2020",14,7447
"Alberta","16-06-2020",35,7482
"Alberta","17-06-2020",48,7530
"Alberta","18-06-2020",49,7579
"Alberta","19-06-2020",46,7625
"Alberta","20-06-2020",48,7673
"Alberta","21-06-2020",31,7704
"Alberta","22-06-2020",32,7736
"Alberta","23-06-2020",45,7781
"Alberta","24-06-2020",44,7825
"Alberta","25-06-2020",26,7851
"Alberta","26-06-2020",37,7888
"Alberta","27-06-2020",69,7957
"Alberta","28-06-2020",39,7996
"Alberta","29-06-2020",71,8067
"Alberta","30-06-2020",41,8108
"Alberta","01-07-2020",0,8108
"Alberta","02-07-2020",94,8202
"Alberta","03-07-2020",57,8259
"Alberta","04-07-2020",0,8259
"Alberta","05-07-2020",0,8259
"Alberta","06-07-2020",130,8389
"Alberta","07-07-2020",47,8436
"Alberta","08-07-2020",46,8482
"Alberta","09-07-2020",37,8519
"Alberta","10-07-2020",77,8596
"Alberta","11-07-2020",0,8596
"Alberta","12-07-2020",0,8596
"Alberta","13-07-2020",230,8826
"Alberta","14-07-2020",86,8912
"Alberta","15-07-2020",82,8994
"Alberta","16-07-2020",120,9114
"Alberta","17-07-2020",105,9219
"Alberta","18-07-2020",0,9219
"Alberta","19-07-2020",0,9219
"Alberta","20-07-2020",368,9587
"Alberta","21-07-2020",141,9728
"Alberta","22-07-2020",133,9861
"Alberta","23-07-2020",112,9973
"Alberta","24-07-2020",111,10084
"Alberta","25-07-2020",0,10084
"Alberta","26-07-2020",0,10084
"Alberta","27-07-2020",303,10387
"Alberta","28-07-2020",79,10466
"Alberta","29-07-2020",133,10599
"Alberta","30-07-2020",113,10712
"Alberta","31-07-2020",127,10839
"Alberta","01-08-2020",0,10839
"Alberta","02-08-2020",0,10839
"Alberta","03-08-2020",0,10839
"Alberta","04-08-2020",305,11144
"Alberta","05-08-2020",94,11238
"Alberta","06-08-2020",56,11294
"Alberta","07-08-2020",136,11430
"Alberta","08-08-2020",0,11430
"Alberta","09-08-2020",0,11430
"Alberta","10-08-2020",257,11687
"Alberta","11-08-2020",85,11772
"Alberta","12-08-2020",121,11893
"Alberta","13-08-2020",76,11969
"Alberta","14-08-2020",84,12053
"Alberta","15-08-2020",0,12053
"Alberta","16-08-2020",0,12053
"Alberta","17-08-2020",277,12330
"Alberta","18-08-2020",89,12419
"Alberta","19-08-2020",82,12501
"Alberta","20-08-2020",103,12604
"Alberta","21-08-2020",144,12748
"Alberta","22-08-2020",0,12748
"Alberta","23-08-2020",0,12748
"Alberta","24-08-2020",258,13006
"Alberta","25-08-2020",77,13083
"Alberta","26-08-2020",127,13210
"Alberta","27-08-2020",108,13318
"Alberta","28-08-2020",158,13476
"Alberta","29-08-2020",0,13476
"Alberta","30-08-2020",0,13476
"Alberta","31-08-2020",426,13902
"Alberta","01-09-2020",164,14066
"Alberta","02-09-2020",114,14180
"Alberta","03-09-2020",130,14310
"Alberta","04-09-2020",164,14474
"Alberta","05-09-2020",0,14474
"Alberta","06-09-2020",0,14474
"Alberta","07-09-2020",0,14474
"Alberta","08-09-2020",619,15093
"Alberta","09-09-2020",98,15191
"Alberta","10-09-2020",113,15304
"Alberta","11-09-2020",111,15415
"Alberta","12-09-2020",0,15415
"Alberta","13-09-2020",0,15415
"Alberta","14-09-2020",418,15833
"Alberta","15-09-2020",124,15957
"Alberta","16-09-2020",171,16128
"Alberta","17-09-2020",146,16274
"Alberta","18-09-2020",107,16381
"Alberta","19-09-2020",0,16381
"Alberta","20-09-2020",0,16381
"Alberta","21-09-2020",358,16739
"Alberta","22-09-2020",150,16889
"Alberta","23-09-2020",143,17032
"Alberta","24-09-2020",158,17190
"Alberta","25-09-2020",153,17343
"Alberta","26-09-2020",0,17343
"Alberta","27-09-2020",0,17343
"Alberta","28-09-2020",406,17749
"Alberta","29-09-2020",160,17909
"BC","25-01-2020",0,0
"BC","26-01-2020",0,0
"BC","27-01-2020",0,0
"BC","28-01-2020",1,1
"BC","29-01-2020",0,1
"BC","30-01-2020",0,1
"BC","31-01-2020",0,1
"BC","01-02-2020",0,1
"BC","02-02-2020",0,1
"BC","03-02-2020",0,1
"BC","04-02-2020",1,2
"BC","05-02-2020",0,2
"BC","06-02-2020",2,4
"BC","07-02-2020",0,4
"BC","08-02-2020",0,4
"BC","09-02-2020",0,4
"BC","10-02-2020",0,4
"BC","11-02-2020",0,4
"BC","12-02-2020",0,4
"BC","13-02-2020",0,4
"BC","14-02-2020",1,5
"BC","15-02-2020",0,5
"BC","16-02-2020",0,5
"BC","17-02-2020",0,5
"BC","18-02-2020",0,5
"BC","19-02-2020",0,5
"BC","20-02-2020",1,6
"BC","21-02-2020",0,6
"BC","22-02-2020",0,6
"BC","23-02-2020",0,6
"BC","24-02-2020",1,7
"BC","25-02-2020",0,7
"BC","26-02-2020",0,7
"BC","27-02-2020",0,7
"BC","28-02-2020",0,7
"BC","29-02-2020",1,8
"BC","01-03-2020",0,8
"BC","02-03-2020",0,8
"BC","03-03-2020",4,12
"BC","04-03-2020",1,13
"BC","05-03-2020",8,21
"BC","06-03-2020",0,21
"BC","07-03-2020",6,27
"BC","08-03-2020",0,27
"BC","09-03-2020",5,32
"BC","10-03-2020",7,39
"BC","11-03-2020",7,46
"BC","12-03-2020",7,53
"BC","13-03-2020",11,64
"BC","14-03-2020",9,73
"BC","15-03-2020",0,73
"BC","16-03-2020",30,103
"BC","17-03-2020",83,186
"BC","18-03-2020",45,231
"BC","19-03-2020",40,271
"BC","20-03-2020",77,348
"BC","21-03-2020",76,424
"BC","22-03-2020",0,424
"BC","23-03-2020",48,472
"BC","24-03-2020",145,617
"BC","25-03-2020",42,659
"BC","26-03-2020",66,725
"BC","27-03-2020",67,792
"BC","28-03-2020",92,884
"BC","29-03-2020",0,884
"BC","30-03-2020",86,970
"BC","31-03-2020",43,1013
"BC","01-04-2020",53,1066
"BC","02-04-2020",55,1121
"BC","03-04-2020",53,1174
"BC","04-04-2020",29,1203
"BC","05-04-2020",0,1203
"BC","06-04-2020",63,1266
"BC","07-04-2020",25,1291
"BC","08-04-2020",45,1336
"BC","09-04-2020",34,1370
"BC","10-04-2020",40,1410
"BC","11-04-2020",35,1445
"BC","12-04-2020",0,1445
"BC","13-04-2020",45,1490
"BC","14-04-2020",27,1517
"BC","15-04-2020",44,1561
"BC","16-04-2020",14,1575
"BC","17-04-2020",43,1618
"BC","18-04-2020",29,1647
"BC","19-04-2020",0,1647
"BC","20-04-2020",52,1699
"BC","21-04-2020",25,1724
"BC","22-04-2020",71,1795
"BC","23-04-2020",29,1824
"BC","24-04-2020",29,1853
"BC","25-04-2020",95,1948
"BC","26-04-2020",0,1948
"BC","27-04-2020",50,1998
"BC","28-04-2020",55,2053
"BC","29-04-2020",34,2087
"BC","30-04-2020",24,2111
"BC","01-05-2020",33,2144
"BC","02-05-2020",26,2170
"BC","03-05-2020",0,2170
"BC","04-05-2020",53,2223
"BC","05-05-2020",8,2231
"BC","06-05-2020",23,2254
"BC","07-05-2020",31,2285
"BC","08-05-2020",29,2314
"BC","09-05-2020",15,2329
"BC","10-05-2020",0,2329
"BC","11-05-2020",23,2352
"BC","12-05-2020",7,2359
"BC","13-05-2020",17,2376
"BC","14-05-2020",15,2391
"BC","15-05-2020",15,2406
"BC","16-05-2020",21,2427
"BC","17-05-2020",0,2427
"BC","18-05-2020",16,2443
"BC","19-05-2020",2,2445
"BC","20-05-2020",21,2466
"BC","21-05-2020",12,2478
"BC","22-05-2020",28,2506
"BC","23-05-2020",10,2516
"BC","24-05-2020",0,2516
"BC","25-05-2020",13,2529
"BC","26-05-2020",11,2540
"BC","27-05-2020",8,2548
"BC","28-05-2020",9,2557
"BC","29-05-2020",4,2561
"BC","30-05-2020",11,2572
"BC","31-05-2020",0,2572
"BC","01-06-2020",24,2596
"BC","02-06-2020",4,2600
"BC","03-06-2020",21,2621
"BC","04-06-2020",6,2627
"BC","05-06-2020",1,2628
"BC","06-06-2020",0,2628
"BC","07-06-2020",0,2628
"BC","08-06-2020",28,2656
"BC","09-06-2020",10,2666
"BC","10-06-2020",12,2678
"BC","11-06-2020",14,2692
"BC","12-06-2020",16,2708
"BC","13-06-2020",0,2708
"BC","14-06-2020",0,2708
"BC","15-06-2020",36,2744
"BC","16-06-2020",11,2755
"BC","17-06-2020",19,2774
"BC","18-06-2020",7,2781
