"province","date_report","cases","cumulative_cases"
"Canada","25-01-2020",1,1
"Canada","26-01-2020",0,1
"Canada","27-01-2020",1,2
"Canada","28-01-2020",1,3
"Canada","29-01-2020",0,3
"Canada","30-01-2020",0,3
"Canada","31-01-2020",1,4
"Canada","01-02-2020",0,4
"Canada","02-02-2020",0,4
"Canada","03-02-2020",0,4
"Canada","04-02-2020",1,5
"Canada","05-02-2020",0,5
"Canada","06-02-2020",2,7
"Canada","07-02-2020",0,7
"Canada","08-02-2020",0,7
"Canada","09-02-2020",0,7
"Canada","10-02-2020",0,7
"Canada","11-02-2020",0,7
"Canada","12-02-2020",0,7
"Canada","13-02-2020",0,7
"Canada","14-02-2020",1,8
"Canada","15-02-2020",0,8
"Canada","16-02-2020",0,8
"Canada","17-02-2020",0,8
"Canada","18-02-2020",0,8
"Canada","19-02-2020",0,8
"Canada","20-02-2020",1,9
"Canada","21-02-2020",0,9
"Canada","22-02-2020",0,9
"Canada","23-02-2020",1,10
"Canada","24-02-2020",1,11
"Canada","25-02-2020",0,11
"Canada","26-02-2020",1,12
"Canada","27-02-2020",2,14
"Canada","28-02-2020",2,16
"Canada","29-02-2020",4,20
"Canada","01-03-2020",4,24
"Canada","02-03-2020",0,24
"Canada","03-03-2020",9,33
"Canada","04-03-2020",1,34
"Canada","05-03-2020",12,46
"Canada","06-03-2020",8,54
"Canada","07-03-2020",6,60
"Canada","08-03-2020",7,67
"Canada","09-03-2020",19,86
"Canada","10-03-2020",9,95
"Canada","11-03-2020",21,116
"Canada","12-03-2020",40,156
"Canada","13-03-2020",42,198
"Canada","14-03-2020",59,257
"Canada","15-03-2020",84,341
"Canada","16-03-2020",100,441
"Canada","17-03-2020",156,597
"Canada","18-03-2020",130,727
"Canada","19-03-2020",146,873
"Canada","20-03-2020",214,1087
"Canada","21-03-2020",244,1331
"Canada","22-03-2020",140,1471
"Canada","23-03-2020",620,2091
"Canada","24-03-2020",728,2819
"Canada","25-03-2020",589,3408
"Canada","26-03-2020",634,4042
"Canada","27-03-2020",714,4756
"Canada","28-03-2020",898,5654
"Canada","29-03-2020",665,6319
"Canada","30-03-2020",1127,7446
"Canada","31-03-2020",1143,8589
"Canada","01-04-2020",1599,10188
"Canada","02-04-2020",1587,11775
"Canada","03-04-2020",1202,12977
"Canada","04-04-2020",1429,14406
"Canada","05-04-2020",1506,15912
"Canada","06-04-2020",1250,17162
"Canada","07-04-2020",1397,18559
"Canada","08-04-2020",1291,19850
"Canada","09-04-2020",1550,21400
"Canada","10-04-2020",1312,22712
"Canada","11-04-2020",1247,23959
"Canada","12-04-2020",1098,25057
"Canada","13-04-2020",1368,26425
"Canada","14-04-2020",1460,27885
